nodes__y,nodes__x,nodes__id
2439.771257,2157.550015,10102
2461.947998,2200.393327,10401
2690.233154,2213.991211,10201
2687.986328,2126.568848,10404
2735.145142,2174.044556,10511
2843.025879,2106.230347,10302
2774.211426,2140.272949,10304
2825.642822,2145.182129,10305
2781.86084,2104.872559,10303
2862.322021,2140.40564,10307
2822.854736,2182.657104,41604
2853.777588,2174.980591,115608
2400.119629,2194.679477,41601
2494.555908,2268.473877,41602
2485.720104,2227.580811,42103
2448.097412,2294.686457,42105
2514.901855,2244.13208,42309
2530.588379,2289.404314,52716
2457.594988,2061.047991,63208
2486.121826,2116.289673,63209
2382.841797,2175.916521,63402
2471.838135,2143.016724,73921
2369.395769,2068.066406,73922
2378.881958,2315.717407,73925
2436.391829,2268.418945,94410
2381.143444,2343.787708,104808
2437.604204,2006.447266,136806
2412.680681,2263.966553,178716
2419.670915,2100.206072,10403
2392.154896,2232.269464,94415
2455.080566,2373.766357,136810
2307.850342,2113.296665,157325
2422.989763,2130.400635,158309
2544.755127,2046.445007,63823
2486.792358,2349.778076,10406
2349.133324,2379.548761,41806
2543.543945,2393.584961,41901
2790.131348,2627.826066,20702
2748.860038,2611.510392,20704
2704.219345,2542.95874,20703
2680.413925,2571.915039,20712
2779.734725,2566.380859,20808
2479.330566,2452.150024,20709
2432.911411,2394.11084,41905
2435.735962,2462.698242,42005
2463.975342,2473.925903,42008
2387.99939,2393.05603,42202
2471.425226,2627.777899,116207
2582.290527,2480.261963,20804
2588.892578,2454.150024,20807
2746.261581,2523.986084,20806
2751.512802,2552.910889,20813
2373.308838,2436.751343,20811
2385.431396,2482.66272,136910
2369.738159,2722.938843,20910
2348.687988,2621.69873,116103
2449.585249,2591.012096,116106
2385.236816,2605.692139,116108
2341.314697,2582.444225,116109
2332.328791,2666.880726,116204
2393.783936,2739.237671,116209
2234.08252,2472.661621,21101
2358.265869,2489.080078,52523
2689.626465,2018.637207,21205
2534.472656,1805.349121,168403
2326.364258,2619.335938,21211
2302.450617,2589.808594,116203
2628.945978,2047.498779,31514
2468.337713,2040.704651,63214
2498.266235,2322.63916,104821
2511.597412,2181.243286,104902
2365.377947,2203.004395,157309
2396.164534,2006.82448,157326
2438.722395,2189.885254,157610
2376.95166,2126.533325,157616
2473.337446,2259.695759,42102
2488.766602,2297.537598,42106
2358.558527,2240.86377,94411
2278.961426,2256.828791,94418
2396.928955,2331.756226,104818
2360.121826,2282.420099,168418
2406.33667,2451.985229,41704
2346.549072,2442.145508,42001
2348.850952,2464.429932,63401
2408.416748,2426.638916,104819
2324.920587,2532.464045,116305
2410.259521,2352.198242,157310
2155.129395,2799.149658,41803
2177.83667,2843.046143,41805
2461.482422,2403.703735,42007
2478.177734,2375.068359,42104
2457.897461,2331.966064,157604
2508.372803,2208.076782,41904
2474.568237,2422.247803,42009
2450.59295,2097.489831,73917
2444.612549,2433.333496,73923
2421.463623,2375.203369,137010
2421.282538,2507.804199,168544
2412.005859,2663.813055,116114
2381.520197,2521.177734,116202
2503.356934,2064.629761,63506
2475.064209,2165.983398,104707
2391.5896,2145.202148,115602
2353.5896,2414.612793,42402
2352.112915,2344.06604,157308
2320.487793,2432.333862,157404
2327.750783,2193.089911,157217
2349.274658,2108.801147,168432
2397.959894,2293.70752,209403
2140.295721,1223.567072,62903
2109.047607,1259.628174,62912
2212.060303,1246.483826,62914
2136.388117,1246.407227,62930
2205.191162,1201.787598,63701
2194.687012,1260.944214,62907
2163.691162,1252.215332,73906
2218.47168,1409.949829,157220
2239.197579,1430.561646,168479
2428.584473,1322.38208,189010
2169.805176,1161.77478,62910
2204.015015,1167.457764,63702
2270.966064,1213.40686,63703
2147.022705,1179.742554,63707
2235.590332,1239.289673,189022
2106.181396,1200.523926,62932
2422.126953,1480.705444,62923
2179.578979,1315.699219,63215
2216.381592,1285.251465,73908
2291.204102,1343.719987,62915
2314.12043,1316.263375,62916
2245.4104,1476.706909,63206
2247.051557,1333.31747,63403
2181.908691,1359.184265,73912
2361.204834,1835.943726,104811
2347.103516,1427.73999,189026
2371.025879,1329.550362,209612
2354.5979,1266.425415,62918
2339.333274,1380.493164,63504
2407.776367,1372.223755,63808
2073.446411,1241.31311,62920
2096.574707,1241.225586,62925
2081.880859,1194.057068,62921
2449.057861,1947.134094,115603
2493.67334,1505.665405,158202
2317.41748,1514.280029,168416
2485.320068,1475.823975,199303
2041.298584,1217.769775,62933
2081.271595,1216.069946,62935
2188.089355,1284.9729,62936
2137.584473,1277.563721,189021
2115.891479,1299.64502,62937
2131.487549,1327.595947,63822
2205.975098,1336.439697,189027
2282.953959,1264.462434,63002
2454.51709,1304.495544,168442
2478.692871,2006.537659,63003
2417.657471,2045.075004,104911
2503.927507,1972.42395,63004
2446.702881,1982.600647,63307
2523.730957,1840.12915,157211
2269.882813,1365.359619,63006
2492.441406,2024.424383,73920
2433.856151,2070.859375,104817
2446.956299,1894.917114,168428
2475.616943,2052.831848,63405
2537.085205,2010.962175,63212
2469.768066,1911.839539,137008
2470.043701,1941.103516,168434
2386.522495,1972.855258,168438
2463.754639,1822.73938,178701
2384.279297,2033.861755,178903
2399.153632,2067.986816,63305
2363.612061,1777.590637,74009
2337.209473,1804.077393,74010
2312.301514,1990.620728,157320
2311.58667,1745.544922,168481
2325.083918,2243.271484,209406
2157.582397,1315.808533,63821
2344.115967,1472.393677,104810
2226.794189,1371.289063,168427
2254.589111,1395.154541,168524
2289.004883,1472.49646,189024
2172.088257,1212.985596,73911
2260.125732,1182.667725,115502
2199.563965,1228.625854,73910
2230.453369,1214.067017,137002
2255.138603,1254.873779,157506
2299.486372,1397.993273,157507
2299.842285,1252.05896,158108
2644.517578,1693.833435,63801
2415.229004,1727.910767,168406
2263.20874,1296.65625,63815
2509.761719,1783.429932,63816
2522.9021,1747.533936,136902
2390.467529,1761.30249,168466
2527.708984,1679.278931,178605
2466.670898,1672.589355,178707
2388.294434,1868.113159,73909
2288.790527,1962.248291,115911
2436.767578,1849.071533,157322
2299.273438,1797.559326,168462
2298.975098,1599.977051,168483
2268.206543,1919.302734,168503
2267.388672,1634.104004,168547
2399.51416,1818.895386,178708
2200.654053,1389.745178,73919
2158.646118,1377.328369,74002
2279.821045,1544.424683,73914
2270.779541,1588.24939,157304
2222.274658,1593.67041,168455
2479.858643,1719.417725,73916
2342.781006,2142.885429,157314
2316.810791,2158.674106,94421
2321.601429,2284.65838,157306
2356.210483,2165.039812,157321
2322.631836,2066.579712,168501
2295.468994,1848.819824,73926
2276.114746,1988.544556,157907
2525.546387,1859.646729,158205
2295.482178,1929.064453,158301
2358.376709,1936.300903,158302
2297.717773,1704.451904,168468
2356.884766,1969.591011,168536
2325.731445,1892.650757,209405
2448.669434,1866.764832,74005
2351.725586,1862.388733,74008
2324.973633,1859.649536,74016
2523.227295,1722.264832,137009
2338.480957,1759.225342,157307
2495.295654,1762.55835,168414
2482.388428,1802.413391,168511
2459.015869,1729.053223,168512
2295.766357,1773.330322,168538
2441.183594,1780.904175,178704
2307.129639,1672.759644,136804
2204.5512,2114.096749,74011
2273.819442,2030.241142,168504
2322.765187,2026.518083,168546
2327.40332,1959.373901,168431
2418.219482,1878.888428,168530
2535.391846,1895.40033,178607
2409.882536,1934.164604,178703
2280.523926,2059.459229,84205
2307.835466,2198.620639,94401
2414.058611,2163.375732,104805
2191.45813,2292.580444,94403
2227.714478,2271.223145,94408
2207.447021,2242.445978,94409
2421.050648,2229.373047,136809
2319.525879,1582.174927,157315
2281.445978,2310.152344,157612
2316.627808,2382.589478,157602
2310.799072,2737.574341,104820
2374.24292,2647.991499,116101
2436.28125,2547.620716,116104
2371.706299,2673.773504,116105
2288.627752,2691.759277,116110
2262.044556,2643.660767,116115
2387.407959,2099.033464,104823
2275.098458,2107.078438,168474
2249.746582,1847.411865,136805
2548.766602,2715.806885,115209
2496.696045,2647.906372,115515
2396.059814,2692.953491,116111
2417.491333,2727.577759,116117
2436.919678,2640.441284,116217
2517.734198,2551.887718,115210
2524.772286,2595.024902,115407
2615.156043,1334.029594,168532
2517.668457,2705.873779,115211
2562.539376,2700.087646,115513
2559.107003,2669.456612,115514
2503.044434,2744.006104,115807
2173.46875,1783.557678,115309
2209.016357,1718.587402,115903
2444.092951,2720.357111,115401
2430.118164,2759.174927,115806
2405.662621,2628.72574,116102
2473.922785,2586.72785,115509
2464.249067,2696.003662,126403
2571.44381,2627.413399,115512
2548.641468,2569.529852,115516
2464.498535,2664.723755,116302
2359.895264,1650.627075,168419
2231.772705,1687.363525,168480
2307.033936,1905.128113,168537
2464.83667,2768.640137,116002
2412.195978,2585.54126,116107
2359.992188,2553.636829,116112
2283.200439,2608.590698,116201
2420.220703,2700.842163,116205
2324.575317,2713.657959,116206
2386.668457,2573.035767,116208
2356.308838,2706.945801,116210
2296.613525,2649.052734,116211
2341.821733,2733.065652,116212
2291.862726,2556.907227,126405
2272.576172,2667.596558,126406
2356.351335,2025.688948,209401
2253.691895,2553.72522,209404
2254.062744,2582.929199,116304
2193.156494,2610.51123,116307
2354.494141,1692.325745,158207
2304.280029,1629.408447,168454
2384.549805,1680.135742,168459
2270.194336,1831.555481,137007
2498.526123,1703.986328,168433
2513.067383,1807.260376,168436
2486.06958,1587.854614,136815
2467.462158,1545.4823,168413
2710.156006,1229.453735,137006
2731.148193,1228.666748,157410
2609.826172,1271.650574,168443
2623.829834,1172.235962,168473
2604.597656,1230.406738,168522
2689.028597,1270.788314,168534
2674.43499,1239.977905,168541
2490.209717,1872.377075,137019
2362.80249,1914.605591,168417
2352.548584,1888.56366,168465
2412.246094,1693.41333,168409
2603.563965,1556.633667,168450
2138.812256,2088.849121,137013
2277.27478,2422.088989,157204
2246.869629,2203.911987,157216
2188.8479,1428.140259,157219
2481.898327,1425.252319,157221
2538.217041,1561.134399,157222
2367.19165,1501.098755,157225
2317.79541,1554.302612,157229
2412.931885,1520.187256,157226
2442.331299,1533.701172,168407
2583.505127,1667.53186,157302
2616.581299,1624.815186,178603
2315.12793,1831.937866,168425
2296.775374,2161.420149,157608
2484.778076,1648.830688,168408
2460.119141,1619.230835,168412
2331.250732,1610.540649,168426
2449.291504,1703.354004,157318
2381.169678,1614.907104,158208
